ceg,9881879,9355,52,193
cfa,9877843,8780,284,618
cfb,9983619,10327,80,220
cfc,9679236,9207,224,524
cfd,9854523,9279,134,212
cfe,9696515,9137,119,330
cff,9998713,8150,187,331
cfg,9651251,9635,234,348
cga,9799881,9929,350,542
cgb,9940960,10325,47,193
cgc,9537809,8812,5,6
cgd,9903462,8396,128,206
cge,9805138,8364,28,69
cgf,9658752,9774,52,202
cgg,9559088,8061,79,233
daa,9954254,10593,65,218
dab,9984611,9554,163,232
dac,9805807,8215,158,277
dad,9485151,8851,46,119
dae,9945739,8614,5,29
daf,9882120,9081,47,195
dag,9809144,7919,53,146
dba,9877202,8800,688,1185
dbb,9757669,8325,12,90
dbc,9902458,8085,105,188
dbd,9714165,9174,30,66
dbe,9748438,9502,238,404
dbf,9955478,9689,5,38
dbg,9840985,6506,9,53
dca,9989141,9888,125,329
dcb,9857028,8052,115,181
dcc,9549138,9658,25,109
dcd,9923543,8782,124,263
dce,9524662,9669,109,276
dcf,9972174,8733,54,102
dcg,9776305,12040,81,230
dda,9998709,9810,5,19
ddb,9703666,9206,163,286
ddc,9747469,8521,5,32
ddd,9989276,8639,5,68
dde,9978765,8443,120,205
ddf,9911683,8040,58,171
ddg,9743095,10692,120,296
dea,9752393,9876,5,11
deb,9831927,8065,122,281
dec,9940618,7743,157,275
ded,9223014,10105,120,243
dee,9470930,8789,35,82
def,9808766,9107,127,231
deg,9924436,9071,121,227
dfa,9843772,7699,5,39
dfb,9730197,8863,55,194
dfc,9900276,7388,239,425
dfd,9576492,8191,5,78
dfe,9921853,9240,87,231
dff,9847721,8049,13,98
dfg,9511363,9166,5,32
dga,9782507,9156,403,610
dgb,9904911,8839,5,27
dgc,9838184,9164,41,110
dgd,9955937,7682,229,391
dge,9975321,9235,109,163
dgf,9879151,8255,263,412
dgg,9987243,9835,261,415
eaa,9222946,10192,74,234
eab,9762683,10269,73,157
eac,9914628,8249,165,318
ead,9975656,9539,156,249
eae,9803157,8175,5,11
eaf,9732038,8708,551,1037
eag,9991485,8683,262,417
eba,9754343,9449,86,191
ebb,9950675,9081,91,240
ebc,9744112,7319,5,11
ebd,9924561,7157,56,226
ebe,9869407,10757,47,160
ebf,9989163,9927,35,165
ebg,9796848,9133,5,40
eca,9824592,7520,58,154
ecb,9817350,7050,5,24
ecc,9987044,8721,128,228
ecd,9885083,8459,89,232
ece,9769987,9289,13,102
ecf,9524080,9032,197,307
ecg,9932267,8068,137,289
eda,9581346,9657,51,199
edb,9804197,9395,200,431
edc,9958584,8055,52,113
edd,9985869,9551,141,310
ede,9986506,9520,36,101
edf,9749806,11616,5,7
edg,9933645,9425,156,343
eea,9119611,9263,67,126
eeb,9565665,10402,83,171
eec,9851443,8110,98,178
eed,9795103,8138,232,443
eee,9933967,9205,70,262
eef,9365296,11748,55,167
eeg,9670336,10592,87,291
efa,9937591,9392,34,128
efb,9998375,10449,102,207
efc,9511210,9361,5,38
efd,9845255,8835,32,72
efe,9807405,10496,130,303
eff,9866397,7687,5,26
efg,9749947,8621,278,423
ega,9952840,9501,5,67
egb,9264138,9753,139,229
egc,9409475,10024,279,508
egd,9597643,7351,5,51
ege,9999596,7742,26,79
egf,9899414,8840,158,279
egg,9701677,10859,88,279
faa,9953476,9352,189,346
fab,9761589,7825,541,861
fac,9849788,8044,84,219
fad,9871741,10018,50,164
fae,9448149,8857,5,58
faf,9992734,7809,5,9
fag,9859652,9020,41,161
fba,9677251,9229,141,246
fbb,9886595,8436,124,201
fbc,9736790,10035,49,161
fbd,9734708,7628,39,108
fbe,9919277,7884,18,87
fbf,9803185,10401,5,28
fbg,9978656,8464,27,66
fca,9786691,8762,76,160
fcb,9705100,8697,163,317
fcc,9782755,8252,190,370
fcd,9997347,9470,102,179
fce,9989555,7609,5,20
fcf,9542088,9144,47,261
fcg,9787268,9935,74,257
fda,9982229,8150,119,267
fdb,9719907,9951,85,170
fdc,9911482,9707,118,283
fdd,9985631,9124,81,180
fde,9903651,7904,5,32
fdf,9697305,8776,300,470
fdg,9511738,8469,194,320
fea,9931829,9214,5,25
feb,9987443,8369,831,2196
fec,9849392,9294,70,188
fed,9962485,10536,168,314
fee,9620551,9817,61,248
fef,9949556,8738,5,22
feg,9945305,7581,133,320
ffa,9791765,8945,5,47
ffb,9946638,9294,66,273
ffc,9451177,8817,48,118
ffd,9895860,8909,228,381
ffe,9812414,9002,497,1744
fff,9671954,8971,8,76
ffg,9907066,8860,53,268
fga,9882217,8695,32,211
fgb,9945043,8967,5,48
fgc,9920682,8513,222,428
fgd,9595227,9213,63,161
fge,9652888,9295,118,235
fgf,9866844,8519,214,448
fgg,9997011,8608,344,763
gaa,9933081,9126,5,30
gab,9877949,9965,8,85
gac,9986159,9766,63,122
gad,9926123,7384,58,108
gae,9627607,8302,30,68
gaf,9901211,10041,55,115
gag,9795950,9869,33,93
gba,9666152,9893,197,462
gbb,9957646,9188,28,112
gbc,9977541,8497,249,534
gbd,9984112,7284,136,232
gbe,9848104,9292,170,301
gbf,9992755,8150,317,540
gbg,9934877,9740,468,797
gca,9695713,7459,5,14
gcb,9982851,9355,236,381
gcc,9976346,9837,73,215
gcd,9983717,11035,73,190
gce,9850846,7264,5,48
gcf,9987142,9284,86,170
gcg,9914737,9334,177,423
gda,9579433,8199,5,39
gdb,9780427,7939,112,164
gdc,9934592,8303,69,190
gdd,9876568,7723,41,138
gde,9896976,8224,5,35
gdf,9836553,9214,118,238
gdg,9947360,8149,94,180
gea,9841437,9758,5,105
geb,9848256,9161,5,28
gec,9866364,8232,5,50
ged,9988742,9106,127,233
gee,9576517,9212,72,197
gef,9954266,9027,40,101
geg,9995890,8117,12,122
gfa,9964468,8324,11,133
gfb,9867305,9183,38,120
gfc,9900746,8171,70,228
gfd,9553794,8814,155,297
gfe,9949002,8070,181,369
gff,9994309,10849,15,74
gfg,9986367,9546,134,269
gga,9774113,9035,243,399
ggb,9966881,9011,282,535
ggc,9816229,9216,47,98
ggd,9990090,8630,5,38
gge,9883848,9425,140,364
ggf,9910450,10076,31,133
ggg,9933478,9282,75,139
